title,date,venue,description,category,categories,url
GlasGHOST: Glasgow’s Biggest Indoor Family Halloween Experience!,24th October 2025 - 26th October 2025,"SEC Centre, Glasgow West End","Get ready for a spook-tacular adventure this October when GlasGHOST, a thrilling, family-friendly Halloween event like no other, comes to the SEC Glasgow!",days-out,days-out|family-and-kids,https://www.whatsonglasgow.co.uk/event/158864-glasghost:-glasgow’s-biggest-indoor-family-halloween-experience!/
Halloween,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|nights-out|outdoor,https://www.whatsonglasgow.co.uk/event/064051-glasglow/
GlasGLOW,24th October 2025 - 9th November 2025,"Glasgow Botanic Gardens, Glasgow West End","This Halloween season, the city we love turns 850 and GlasGLOW are throwing one GLOW-rious celebration with an all-new 60-minute blockbuster light and sound show at the Botanic Gardens!",family-and-kids,family-and-kids|nights-out|outdoor,https://www.whatsonglasgow.co.uk/event/064051-glasglow/
Glasgow 850,Date TBA,Venue TBA,No description available,active,active|comedy|community,https://www.whatsonglasgow.co.uk/event/148355-glasgow-850/
Tour,Date TBA,Venue TBA,No description available,history,history|talks-and-lectures|tour,https://www.whatsonglasgow.co.uk/event/017075-glasgow-central-station-tours/
Glasgow Central Station Tours,1st January 2024 - 31st December 2025,"Glasgow Central Station, Glasgow City Centre","Glasgow Central Tours offer you the chance to explore behind the scenes of Glasgow's most iconic and busiest landmarks, Central Station!",history,history|talks-and-lectures|tour,https://www.whatsonglasgow.co.uk/event/017075-glasgow-central-station-tours/
Tour,Date TBA,Venue TBA,No description available,days-out,days-out|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/066772-glasgow-city-centre-walking-tour/
Glasgow City Centre Walking Tour,11th January 2025 - 21st December 2025,"Glasgow City Chambers, Glasgow City Centre","This is a 1.5 hour tour that will take you around all the main sites of the city, giving you an excellent opportunity to find out about Glasgow's rich history and culture!",days-out,days-out|family-and-kids|history,https://www.whatsonglasgow.co.uk/event/066772-glasgow-city-centre-walking-tour/
Shopping,Date TBA,Venue TBA,No description available,days-out,days-out|family-and-kids|gaming,https://www.whatsonglasgow.co.uk/event/159684-glasgow-east-comic-con/
Glasgow East Comic Con,25th October 2025,"Platform Glasgow, Glasgow East End","Browse trader stalls, geek out and have the chance to get your picture taken with your favourite characters when Glasgow East Comic Con comes to Platform Glasgow on Saturday 25th October!",days-out,days-out|family-and-kids|gaming,https://www.whatsonglasgow.co.uk/event/159684-glasgow-east-comic-con/
Community,Date TBA,Venue TBA,No description available,community,community,https://www.whatsonglasgow.co.uk/event/160259-glasgow-for-europe-euro-cafe/
Glasgow For Europe Euro Cafe,25th October 2025 - 22nd February 2026,"The Social Hub Glasgow, Glasgow City Centre","Glasgow for Europe are hosting a Eurocafe on on the last Saturday of the month in the Social Hub, come along for coffee and chat!",community,community,https://www.whatsonglasgow.co.uk/event/160259-glasgow-for-europe-euro-cafe/
Tour,Date TBA,Venue TBA,No description available,history,history|outdoor|tour,https://www.whatsonglasgow.co.uk/event/090329-glasgow-necropolis-walking-tours/
Glasgow Necropolis Walking Tours,10th November 2024 - 28th December 2025,"Glasgow Necropolis, Glasgow City Centre",The Friends of Glasgow Necropolis run regular friendly and informal walking tours of the Glasgow Necropolis!,history,history|outdoor|tour,https://www.whatsonglasgow.co.uk/event/090329-glasgow-necropolis-walking-tours/
Shopping,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|shopping,https://www.whatsonglasgow.co.uk/event/081460-glasgow-print-fair/
Glasgow Print Fair,25th October 2025,"The Pyramid at Anderston, Glasgow West End","Glasgow Print Fair will bring together printmakers, designers, illustrators and artists for one day only on Saturday 25th October at The Pyramid at Anderston!",arts-and-crafts,arts-and-crafts|shopping,https://www.whatsonglasgow.co.uk/event/081460-glasgow-print-fair/
Tour,Date TBA,Venue TBA,No description available,history,history|tour,https://www.whatsonglasgow.co.uk/event/154896-glasgow-requiem:-the-walk/
Glasgow Requiem: The Walk,1st January 2025 - 31st December 2025,"Glasgow Cathedral, Glasgow City Centre","Discover the hidden lives and stories of the city on an immersive audio journey through Glasgow with The Walk, FREE to experience for everyone.",history,history|tour,https://www.whatsonglasgow.co.uk/event/154896-glasgow-requiem:-the-walk/
Tour,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|outdoor|tour,https://www.whatsonglasgow.co.uk/event/075557-glasgow-street-art-walking-tour/
Glasgow Street Art Walking Tour,11th January 2025 - 21st December 2025,Venue TBA,"Immerse yourself in a different side to Glasgow on this unique street art and modern culture tour, a popular tour for those looking to go off the beaten track!",family-and-kids,family-and-kids|outdoor|tour,https://www.whatsonglasgow.co.uk/event/075557-glasgow-street-art-walking-tour/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/151852-glenn-hughes/
Glenn Hughes,25th October 2025,"The Garage, Glasgow City Centre","Glenn Hughes brings The Chosen Years Tour, a two-hour live extravaganza homage to his illustrious solo career spanning 5 decades in music, to The Garage Glasgow on Saturday 25th October!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/151852-glenn-hughes/
Theatre,Date TBA,Venue TBA,No description available,music,music|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/153045-gloc-present-rock-of-ages/
GLOC present Rock of Ages,21st October 2025 - 25th October 2025,"Kings Theatre Glasgow, Glasgow City Centre",Join GLOC for an unforgettable week of high energy 80s rock when they bring their production of Rock of Ages to the King's Theatre Glasgow in October!,music,music|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/153045-gloc-present-rock-of-ages/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/158506-gnoss/
Gnoss,25th October 2025,"The Art School, Glasgow City Centre","Catch dynamic, four-piece Scottish folk band, Gnoss when they play a headline show at Glasgow's Art School on Friday 25th October!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/158506-gnoss/
Active,Date TBA,Venue TBA,No description available,active,active|family-and-kids|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/030119-good-move-glasgow-health-walks/
Good Move Glasgow Health Walks,1st January 2024 - 31st December 2025,Venue TBA,"Good Move Glasgow's Health Walks are easy, fun and free. What's more, with over 50 walks taking place each week, there's bound to be one near you!",active,active|family-and-kids|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/030119-good-move-glasgow-health-walks/
Tour,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|history|nights-out,https://www.whatsonglasgow.co.uk/event/106129-gothic-glasgow/
Gothic Glasgow,2nd April 2025 - 31st December 2025,"Kings Theatre Glasgow, Glasgow City Centre","Join Gothic Glasgow's sinister host Vincent (The Man in the Hat), for a unique evening walking tour uncovering Glasgow's ghostly, strange, supernatural, creepy history!",family-and-kids,family-and-kids|history|nights-out,https://www.whatsonglasgow.co.uk/event/106129-gothic-glasgow/
Family and Kids,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids|workshops,https://www.whatsonglasgow.co.uk/event/160648-halloween-hats/
Halloween Hats,25th October 2025,"Kelvin Hall, Glasgow West End",Make some hat-stonishing Halloween hats at this drop in workshop for all the family at the National Library of Scotland at Kelvin Hall on Saturday 25th October!,arts-and-crafts,arts-and-crafts|family-and-kids|workshops,https://www.whatsonglasgow.co.uk/event/160648-halloween-hats/
Halloween,Date TBA,Venue TBA,No description available,community,community|family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/162879-halloween-pumpkin-patch/
Halloween Pumpkin Patch,25th October 2025,"The Molly Weir Community Garden, Glasgow North","The Molly Weir Community Garden will host a free halloween event on Saturday 25th October, come and visit the pumpkin patch and pick your own pumpkin to carve into a lantern and take home!",community,community|family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/162879-halloween-pumpkin-patch/
Workshops,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/162421-halloween-weekend-workshop:-create-your-own-ceramic-mask-(ages-18+)/
Halloween Weekend Workshop: Create Your Own Ceramic Mask (Ages 18+),25th October 2025,"The Craft Pottery Studio, Glasgow City Centre","Join the Craft Pottery Studio for a creative adventure in crafting and decorating your very own wall-hanging mask. Whether you go spooky, quirky, cute, or completely abstract - is entirely up to you!",arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/162421-halloween-weekend-workshop:-create-your-own-ceramic-mask-(ages-18+)/
Shopping,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|food-and-drink|outdoor,https://www.whatsonglasgow.co.uk/event/031927-helensburgh-market-in-the-square/
Helensburgh Market in the Square,8th February 2025 - 13th December 2025,"Helensburgh Market in the Square, Helensburgh",Buy the best of seasonal local produce at Helensburgh Market in the Square held on the second and last Saturdays of each month in Colquhoun Square!,arts-and-crafts,arts-and-crafts|food-and-drink|outdoor,https://www.whatsonglasgow.co.uk/event/031927-helensburgh-market-in-the-square/
Halloween,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/161212-hill-house-halloween-trail/
Hill House Halloween Trail,25th October 2025 - 26th October 2025,"The Hill House, Helensburgh",Join the team at the Hill House on Saturday 25th and Sunday 26th October for some Halloween fun the whole family can enjoy!,family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/161212-hill-house-halloween-trail/
Tour,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|history|tour,https://www.whatsonglasgow.co.uk/event/025975-historic-tours-of-glasgow-university/
Historic Tours of Glasgow University,7th January 2025 - 18th December 2025,"The University of Glasgow, Glasgow West End",Join a historic walking tour of the University of Glasgow the fourth oldest university in the English-speaking world!,family-and-kids,family-and-kids|history|tour,https://www.whatsonglasgow.co.uk/event/025975-historic-tours-of-glasgow-university/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/141765-identity:-international-photography-exhibition/
Identity: International Photography Exhibition,3rd October 2025 - 31st October 2025,"The Glasgow Gallery of Photography: High Street, Glasgow City Centre",For the month of October the Glasgow Gallery of Photography is showcasing the work of photographers from the UK and Internationally in an exhibition with the theme Identity.,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/141765-identity:-international-photography-exhibition/
Quiz Night,Date TBA,Venue TBA,No description available,general,general,https://www.whatsonglasgow.co.uk/event/142943-innis-and-gunn-pub-quiz-on-west-nile-street/
Innis and Gunn Pub Quiz on West Nile Street,7th January 2025 - 30th December 2025,"Innis & Gunn Brewery Taproom Glasgow City Centre, Glasgow City Centre",Sharp thinker? Get a team together for the weekly pub quiz at Innis and Gunn Brewery Taproom West Nile Street!,general,general,https://www.whatsonglasgow.co.uk/event/142943-innis-and-gunn-pub-quiz-on-west-nile-street/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/161667-ir/regular/
ir/regular,20th September 2025 - 1st November 2025,"Project Ability, Glasgow City Centre",Join the team at Project Ability for their next exhibition 'ir/regular featuring work from neurodivergent artist Grant Glennie.,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/161667-ir/regular/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/147901-jamie-lawson/
Jamie Lawson,25th October 2025,"Drygate Brewing Co., Glasgow East End",2025 marks the 10th Anniversary of the UK number 1 album 'Jamie Lawson' which will see Jamie headline Drygate on Saturday 25th October in celebration!,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/147901-jamie-lawson/
Workshops,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/140849-japanese-shodo-calligraphy-masterclass/
Japanese Shodo Calligraphy Masterclass,25th October 2025,"Woodlands Workspace, Glasgow West End","Explore the traditional materials and brushing key styles, learning from inspiring Shodo masterpieces in this immersive afternoon masterclass from Drawing and Painting Studio!",arts-and-crafts,arts-and-crafts|workshops,https://www.whatsonglasgow.co.uk/event/140849-japanese-shodo-calligraphy-masterclass/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163104-jessica-ramm:-hard-edges-soft-layers/
Jessica Ramm: Hard Edges Soft Layers,13th September 2025 - 30th November 2025,"Gallery of Modern Art, Glasgow City Centre","Hard Edges Soft Layers is an exhibition by Jessica Ramm, artist and writer based in Glasgow, exploring vulnerability within motherhood.",exhibitions,exhibitions|health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/163104-jessica-ramm:-hard-edges-soft-layers/
Theatre,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|theatre,https://www.whatsonglasgow.co.uk/event/134466-journey/
Journey,6th January 2025 - 21st December 2025,"Sharmanka Kinetic Theatre, Glasgow City Centre",Journey is one of Sharmanka Kinetic Theatre's two shows. It features a wide selection of kinetic sculptures including the most recent works by Eduard Bersudsky made in Scotland.,family-and-kids,family-and-kids|theatre,https://www.whatsonglasgow.co.uk/event/134466-journey/
Music,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/136214-junior-conservatoire-student-concert/
Junior Conservatoire Student Concert,27th September 2025 - 29th November 2025,"Royal Conservatoire of Scotland, Glasgow City Centre",The Royal Conservatoire of Scotland Junior Conservatoire students perform in their regular concert series.,family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/136214-junior-conservatoire-student-concert/
Tour,Date TBA,Venue TBA,No description available,tour,tour,https://www.whatsonglasgow.co.uk/event/116949-kelvin-hall-building-tour/
Kelvin Hall Building Tour,18th January 2025 - 13th December 2025,"Kelvin Hall, Glasgow West End",Join the volunteer tour guides for a free 45 minute tour of Kelvin Hall and take a peek behind the scenes in Glasgow Museums' store!,tour,tour,https://www.whatsonglasgow.co.uk/event/116949-kelvin-hall-building-tour/
Music,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/007742-kelvingrove-organ-recitals/
Kelvingrove Organ Recitals,13th January 2025 - 21st December 2025,"Kelvingrove Art Gallery and Museum, Glasgow West End",Kelvingrove Art Gallery & Museum holds delightful daily recitals by eminent local organists and visiting players!,family-and-kids,family-and-kids|music,https://www.whatsonglasgow.co.uk/event/007742-kelvingrove-organ-recitals/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/158883-kid-kapichi/
Kid Kapichi,25th October 2025,"King Tuts Wah Wah Hut, Glasgow City Centre","British punk rock legends Kid Kapichi come to Glasgow's King Tut's on Saturday 25th October, debuting their new lineup!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/158883-kid-kapichi/
Halloween,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids,https://www.whatsonglasgow.co.uk/event/091448-kid’s-halloween-arts-and-crafts/
Kid’s Halloween Arts and Crafts,25th October 2025,"The Language Hub, Glasgow West End","Join The Language Hub for a Halloween Arts & Crafts for Kids session, complete with a craft pack and snacks, on Saturday 25th October!",arts-and-crafts,arts-and-crafts|family-and-kids,https://www.whatsonglasgow.co.uk/event/091448-kid’s-halloween-arts-and-crafts/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|family-and-kids,https://www.whatsonglasgow.co.uk/event/160040-leap-then-look:-play-interact-explore/
Leap then Look: Play Interact Explore,27th September 2025 - 11th May 2026,"Tramway, Glasgow South Side","Play Interact Explore is an exhibition of interactive artworks and resources created by Leap Then Look, which is artists Lucy Cran and Bill Leslie.",exhibitions,exhibitions|family-and-kids,https://www.whatsonglasgow.co.uk/event/160040-leap-then-look:-play-interact-explore/
Family and Kids,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/139937-lego-club/
Lego Club,26th April 2025 - 27th December 2025,"Top Hat & Bishop, Glasgow City Centre",Join in a free build and play Lego session at Top Hat & Bishop! Come down for their weekly family Lego club and build whatever you can imagine!,family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/139937-lego-club/
Tour,Date TBA,Venue TBA,No description available,history,history|tour,https://www.whatsonglasgow.co.uk/event/148963-lgbtq+-tours-at-the-burrell-collection/
LGBTQ+ Tours at The Burrell Collection,21st October 2025 - 20th December 2025,"The Burrell Collection, Glasgow South Side",Join curators at The Burrell Collection on a journey through the galleries uncovering hidden LGBTQ+ histories from their collection!,history,history|tour,https://www.whatsonglasgow.co.uk/event/148963-lgbtq+-tours-at-the-burrell-collection/
Halloween,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids|food-and-drink,https://www.whatsonglasgow.co.uk/event/109128-little-scare-lings-at-dobbies-milngavie/
Little Scare-lings at Dobbies Milngavie,18th October 2025 - 1st November 2025,"Dobbies Milngavie, Milngavie",By order of the Wizarding Council: You're invited to a Halloween tea party of magical proportions at Dobbies Milngavie this Halloween!,arts-and-crafts,arts-and-crafts|family-and-kids|food-and-drink,https://www.whatsonglasgow.co.uk/event/109128-little-scare-lings-at-dobbies-milngavie/
Music,Date TBA,Venue TBA,No description available,music,music,https://www.whatsonglasgow.co.uk/event/150952-live-jazz/
Live Jazz,15th February 2025 - 30th November 2025,"Atlantic Bar and Brasserie, Glasgow City Centre","Sit back, relax, and listen to live jazz whilst indulging in classically French food and drink every weekend at Atlantic Bar & Brasserie!",music,music,https://www.whatsonglasgow.co.uk/event/150952-live-jazz/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/148728-live-music-at-maggie’s/
Live Music at Maggie’s,2nd January 2025 - 31st December 2025,"Maggies Rock n Rodeo, Glasgow City Centre",Enjoy live music 7 nights a week at Maggie's with Country classics and singalongs in the main bar every night!,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/148728-live-music-at-maggie’s/
Halloween,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/091007-loch-lomond-scary-trail-&-pumpkin-patch/
Loch Lomond Scary Trail & Pumpkin Patch,3rd October 2025 - 2nd November 2025,"Loch Lomond Faerie Trail, Luss","This October, just in time for Halloween, Loch Lomond Faerie Trail will once again be transformed into the Scary Trail and Pumpkin Patch!",family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/091007-loch-lomond-scary-trail-&-pumpkin-patch/
Music,Date TBA,Venue TBA,No description available,days-out,days-out|music|nights-out,https://www.whatsonglasgow.co.uk/event/145675-maggies-rock-n-rodeo-cowboy-ceilidh/
Maggies Rock N Rodeo Cowboy Ceilidh,10th January 2025 - 6th March 2026,"Maggies Rock n Rodeo, Glasgow City Centre",Get ready to go buck wild at Maggies Rock N Rodeo's sellout Cowboy Ceilidh - the wildest country party this side of Texas!,days-out,days-out|music|nights-out,https://www.whatsonglasgow.co.uk/event/145675-maggies-rock-n-rodeo-cowboy-ceilidh/
Family and Kids,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids,https://www.whatsonglasgow.co.uk/event/161755-magical-october-at-riverside-museum/
Magical October at Riverside Museum,1st October 2025 - 2nd November 2025,"Riverside Museum, Glasgow West End","Riverside Museum are getting ready for a magical October, with lots of fun activities planned as their street undergoes an enchanted makeover!",arts-and-crafts,arts-and-crafts|family-and-kids,https://www.whatsonglasgow.co.uk/event/161755-magical-october-at-riverside-museum/
Theatre,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/157536-making-your-mark/
Making Your Mark,23rd October 2025 - 25th October 2025,"Citizens Theatre, Glasgow South Side","Come and see the amazing creativity of the Citizen Theatre's longest-running Participate group, as they bring this exciting new show to the stage!",family-and-kids,family-and-kids|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/157536-making-your-mark/
Comedy,Date TBA,Venue TBA,No description available,comedy,comedy|nights-out,https://www.whatsonglasgow.co.uk/event/150422-mark-cox:-live/
Mark Cox: Live,25th October 2025,"Woodside Halls, Glasgow West End","Still Game Star Mark Cox, the man behind some of Scotland's most beloved comedy characters, brings his 2025 Scottish tour to Woodside Halls on Saturday 25th October!",comedy,comedy|nights-out,https://www.whatsonglasgow.co.uk/event/150422-mark-cox:-live/
Health and Wellbeing,Date TBA,Venue TBA,No description available,health-and-wellbeing,health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/158857-menopause-warriors-scotland-charity---support-group/
Menopause Warriors Scotland Charity - Support Group,26th July 2025 - 29th November 2025,"Parkhead Hub, Glasgow East End","Not sure what to expect during menopause? Come chat with Menopause Warriors Scotland about everything related to Peri Menopause, Menopause, and Post Menopause!",health-and-wellbeing,health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/158857-menopause-warriors-scotland-charity---support-group/
Health and Wellbeing,Date TBA,Venue TBA,No description available,health-and-wellbeing,health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/158860-menopause-warriors-scotland-charity---support-group/
Menopause Warriors Scotland Charity - Support Group,26th July 2025 - 29th November 2025,"Woodside Library, Glasgow West End","Not sure what to expect during menopause? Come chat with Menopause Warriors Scotland about everything related to Peri Menopause, Menopause, and Post Menopause!",health-and-wellbeing,health-and-wellbeing,https://www.whatsonglasgow.co.uk/event/158860-menopause-warriors-scotland-charity---support-group/
Theatre,Date TBA,Venue TBA,No description available,music,music|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/108024-michael-starring-ben/
Michael Starring Ben,25th October 2025,"SEC Armadillo, Glasgow West End",Michael Jackson fans prepare to be wowed as the UK's ultimate tribute to the King Of Pop is heading out on tour including a night at the SEC Armadillo on October 25th 2025!,music,music|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/108024-michael-starring-ben/
Halloween,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/064563-milngavie-halloween-pumpkin-trail/
Milngavie Halloween Pumpkin Trail,24th October 2025 - 31st October 2025,Venue TBA,Milngavie's free family friendly pumpkin trail is back running from Friday 24th to Friday 31st October!,family-and-kids,family-and-kids|outdoor,https://www.whatsonglasgow.co.uk/event/064563-milngavie-halloween-pumpkin-trail/
Comedy,Date TBA,Venue TBA,No description available,comedy,comedy|nights-out,https://www.whatsonglasgow.co.uk/event/152902-myra-dubois:-cosmic-empath/
Myra DuBois: Cosmic Empath,25th October 2025,"The Old Fruitmarket, Glasgow City Centre","After a barnstorming 2024 which saw Myra Dubois sell-out venues across the UK and Ireland, she returns to the stage with her brand-new show Cosmic Empath, don't miss her in Glasgow this October!",comedy,comedy|nights-out,https://www.whatsonglasgow.co.uk/event/152902-myra-dubois:-cosmic-empath/
Music,Date TBA,Venue TBA,No description available,music,music|nights-out,https://www.whatsonglasgow.co.uk/event/158468-nathan-evans-&-the-saint-phnx-band/
Nathan Evans & The Saint PHNX Band,25th October 2025,"The OVO Hydro, Glasgow West End","Scottish singer-songwriter Nathan Evans will headline Glasgow's OVO Hydro, with the backing of the Saint PHNX band, on Saturday 25th October!",music,music|nights-out,https://www.whatsonglasgow.co.uk/event/158468-nathan-evans-&-the-saint-phnx-band/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/164007-nature-on-paper/
Nature on Paper,15th October 2025 - 24th December 2025,"SPOT, Glasgow South Side","Group exhibition, Nature on Paper, is a celebration of our natural world, with each work a unique view of what the artist finds inspiring!",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/164007-nature-on-paper/
Exhibitions,Date TBA,Venue TBA,No description available,exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/163053-not-all-who-wander-are-lost:-sándor-nagy/
Not All Who Wander Are Lost: Sándor Nagy,16th October 2025 - 30th October 2025,"Six Foot Gallery, Glasgow City Centre","Six Foot Gallery is honoured to present 'Not All Who Wander Are Lost' featuring twenty five works by Hungarian-born, Scotland-based visual artist Sándor Nagy.",exhibitions,exhibitions,https://www.whatsonglasgow.co.uk/event/163053-not-all-who-wander-are-lost:-sándor-nagy/
Theatre,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/144338-open-rig-night:-an-evening-of-circus-acts/
Open Rig Night: An Evening Of Circus Acts,25th October 2025,"Aerial Edge, Glasgow South Side","Step right up, it's time for Aerial Edge to turn their circus show into a circus party at their Open Rig Night!",family-and-kids,family-and-kids|nights-out|theatre,https://www.whatsonglasgow.co.uk/event/144338-open-rig-night:-an-evening-of-circus-acts/
Glasgow 850,Date TBA,Venue TBA,No description available,exhibitions,exhibitions|history,https://www.whatsonglasgow.co.uk/event/157185-our-people’s-palace/
Our People’s Palace,20th June 2025 - 5th December 2025,Venue TBA,"Discover fascinating tales of Glasgow with the 'Our People's Palace' touring display! Check out intriguing objects and stories, celebrating Glasgow's vibrant history, coming to a venue near you.",exhibitions,exhibitions|history,https://www.whatsonglasgow.co.uk/event/157185-our-people’s-palace/
Workshops,Date TBA,Venue TBA,No description available,arts-and-crafts,arts-and-crafts|family-and-kids|workshops,https://www.whatsonglasgow.co.uk/event/162550-paint-&-petals:-halloween-pumpkin-decorating/
Paint & Petals: Halloween Pumpkin Decorating,25th October 2025,"The Boardwalk, Glasgow City Centre",Get in the autumnal spirit and join Impact Arts at The Boardwalk for Paint & Petals: Halloween Pumpkin Decorating!,arts-and-crafts,arts-and-crafts|family-and-kids|workshops,https://www.whatsonglasgow.co.uk/event/162550-paint-&-petals:-halloween-pumpkin-decorating/
Shopping,Date TBA,Venue TBA,No description available,food-and-drink,food-and-drink|outdoor|shopping,https://www.whatsonglasgow.co.uk/event/002855-partick-farmers-market/
Partick Farmers Market,11th January 2025 - 27th December 2025,"Mansfield Park, Glasgow West End",This popular farmers market brings rural Scotland to the centre of Glasgow's West End twice a month!,food-and-drink,food-and-drink|outdoor|shopping,https://www.whatsonglasgow.co.uk/event/002855-partick-farmers-market/
Family and Kids,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/070808-play-cafe/
Play Cafe,30th August 2025 - 20th December 2025,"Platform Glasgow, Glasgow East End","Bring your wee ones along and enjoy some theatre, dance, music and arts activities at Platform Glasgow's Play Cafe on Saturdays!",family-and-kids,family-and-kids,https://www.whatsonglasgow.co.uk/event/070808-play-cafe/
Active,Date TBA,Venue TBA,No description available,active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015477-pollok-parkrun/
Pollok Parkrun,4th January 2025 - 27th December 2025,"Pollok Country Park, Glasgow South Side","Pollok Parkrun is a weekly, free 5km timed run held on Saturday mornings at Pollok Country Park in the Southside of Glasgow!",active,active|health-and-wellbeing|outdoor,https://www.whatsonglasgow.co.uk/event/015477-pollok-parkrun/
Shopping,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|shopping,https://www.whatsonglasgow.co.uk/event/090118-polmadie-car-boot-sale/
Polmadie Car Boot Sale,8th January 2025 - 21st December 2025,"Polmadie Car Boot Sale, Glasgow South Side","Held on Wednesdays, Saturdays and Sundays, Polmadie Car Boot Sale is Scotland's only fully undercover car boot sale!",family-and-kids,family-and-kids|shopping,https://www.whatsonglasgow.co.uk/event/090118-polmadie-car-boot-sale/
Theatre,Date TBA,Venue TBA,No description available,family-and-kids,family-and-kids|theatre,https://www.whatsonglasgow.co.uk/event/161982-provan-hall:-a-spooky-tale/
Provan Hall: A Spooky Tale,25th October 2025,"Provan Hall, Glasgow East End","Join us at the historic Provan Hall this October for an interactive performance of a spooky new play, based on the fascinating history of the site!",family-and-kids,family-and-kids|theatre,https://www.whatsonglasgow.co.uk/event/161982-provan-hall:-a-spooky-tale/
